basic_skills,advanced_skills
HTML,CSS
CSS,JavaScript
JavaScript,React.js
Python,Django
SQL,PostgreSQL
C++,Machine Learning
Excel,Excel VBA
Git,Github
Docker,Kubernetes
Bash Scripting,Ansible
Basic Networking,Network Security
Photoshop,Illustrator
AWS S3,AWS Lambda
Data Visualization,Data Analytics
Linux,Cloud Computing
JSON,API Development
REST API,GraphQL
Firebase,Firestore
PowerBI,DAX (Data Analysis Expressions)
TensorFlow,Keras
Pandas,NumPy
HTML,CSS
CSS,JavaScript
JavaScript,Vue.js
Python,Flask
SQL,MySQL
C#,ASP.NET Core
Excel,Power Query
Git,Bitbucket
Docker,OpenShift
Bash Scripting,Zsh
Basic Networking,Advanced Routing
Photoshop,InDesign
AWS EC2,AWS Elastic Beanstalk
Data Visualization,PowerBI
Linux,Scripting in Linux
JSON,YAML
REST API,SOAP API
Firebase,Google Cloud Functions
PowerBI,Azure Analysis Services
TensorFlow,PyTorch
Pandas,scikit-learn
WordPress,Headless CMS
Ruby,Sinatra
PHP,CodeIgniter
Apache,TOMCAT
R,Data Mining
Java,Android Development
MATLAB,Deep Learning Toolbox
Selenium,Appium
Tableau,Tableau Server
Hadoop,Hive
Vim,Neovim
XML,SOAP
Go,Serverless Architecture
TypeScript,Svelte
Bootstrap,Foundation CSS
Web Security,Penetration Testing
Unity,C# Scripting
Markdown,Asciidoc
Visual Studio Code,Atom
Figma,Sketch
Jupyter Notebook,RStudio
HTML,CSS
CSS,JavaScript
JavaScript,React.js
Python,Django
SQL,PostgreSQL
C++,Machine Learning
Excel,Excel VBA
Git,Github
Docker,Kubernetes
Bash Scripting,Ansible
Basic Networking,Network Security
Photoshop,Illustrator
AWS S3,AWS Lambda
Data Visualization,Data Analytics
Linux,Cloud Computing
JSON,API Development
REST API,GraphQL
Firebase,Firestore
PowerBI,DAX (Data Analysis Expressions)
TensorFlow,Keras
Pandas,NumPy
WordPress,Custom Theme Development
Ruby,Ruby on Rails
PHP,Laravel
Apache,NGINX
R,Shiny
Java,Spring Boot
MATLAB,Simulink
Selenium,Cypress
Tableau,Advanced Data Analytics
Hadoop,Spark
Vim,Emacs
XML,XSLT
Go,Microservices Architecture
TypeScript,Angular
Bootstrap,Tailwind CSS
Web Security,OWASP Practices
Unity,Unreal Engine
Markdown,LaTeX
Visual Studio Code,JetBrains IDEs
Figma,Adobe XD
Jupyter Notebook,Google Colab
HTML,CSS
CSS,JavaScript
JavaScript,Vue.js
Python,Flask
SQL,MySQL
C#,ASP.NET Core
Excel,Power Query
Git,Bitbucket
Docker,OpenShift
Bash Scripting,Zsh
Basic Networking,Advanced Routing
Photoshop,InDesign
AWS EC2,AWS Elastic Beanstalk
Data Visualization,PowerBI
Linux,Scripting in Linux
JSON,YAML
REST API,SOAP API
Firebase,Google Cloud Functions
PowerBI,Azure Analysis Services
TensorFlow,PyTorch
Pandas,scikit-learn
WordPress,Headless CMS
Ruby,Sinatra
PHP,CodeIgniter
Apache,TOMCAT
R,Data Mining
Java,Android Development
MATLAB,Deep Learning Toolbox
Selenium,Appium
Tableau,Tableau Server
Hadoop,Hive
Vim,Neovim
XML,SOAP
Go,Serverless Architecture
TypeScript,Svelte
Bootstrap,Foundation CSS
Web Security,Penetration Testing
Unity,C# Scripting
Markdown,Asciidoc
Visual Studio Code,Atom
Figma,Sketch
Jupyter Notebook,RStudio
AWS S3,AWS Lambda
Azure Virtual Machines,Azure Kubernetes Service
Google Cloud Storage,Google BigQuery
Pega Basic Development,Pega Case Management
Salesforce Admin,Salesforce Lightning
Data Analytics,Data Engineering
Azure DevOps,Azure Pipelines
Machine Learning,Deep Learning
Artificial Intelligence,Reinforcement Learning
Data Wrangling,ETL (Extract
Business Intelligence,Data Science
ETL Tools,Talend
NoSQL Databases,MongoDB
API Development,Microservices
Kubernetes,Service Mesh (Istio)
Salesforce Workflow,Salesforce Process Builder
Pega Reports,Pega Robotics
CI/CD Pipelines,Continuous Deployment
AWS IAM,AWS Security Hub
Azure Functions,Azure Logic Apps
Azure Active Directory,Azure Identity and Access Management (IAM)
Google Analytics,Google Tag Manager
Docker Swarm,Kubernetes Orchestration
Terraform,Infrastructure as Code (IaC)
Jenkins,Travis CI
Big Data,Hadoop Ecosystem
Salesforce Data Modeling,Salesforce Apex
Pega Data Pages,Pega Integration Services
Azure Blob Storage,Azure Data Lake
Amazon Redshift,Amazon Athena
Microsoft Power Automate,Microsoft Power Apps
API Testing,Postman
Salesforce Visualforce,Salesforce Lightning Components
Machine Learning Model Deployment,MLflow
DevOps,GitOps
Spark,Databricks
Data Lakes,Data Warehouses
CloudFormation,Terraform
Machine Learning Algorithms,Model Optimization
Data Governance,Data Privacy
Cloud Security,Zero Trust Security
Serverless Computing,FaaS (Function as a Service)
Natural Language Processing (NLP),Text Mining
Object-Oriented Programming (OOP),Design Patterns
Pega Process Automation,Pega Decisioning
Salesforce CRM,Salesforce Service Cloud
Azure Data Factory,Azure Synapse Analytics
Keras,TensorFlow
Cloud Storage Solutions,Hybrid Cloud
Data Mining,Data Visualization
Predictive Analytics,Prescriptive Analytics
Edge Computing,IoT (Internet of Things)
Salesforce Integration,Salesforce API
Pega DevOps,Pega Deployment Manager
Cloud Monitoring,Cloud Cost Management
Microsoft Azure Sentinel,SIEM (Security Information and Event Management)
PowerBI Dashboards,PowerBI Embedded
AWS Lambda,AWS Step Functions
Azure App Services,Azure API Management
Google Cloud Functions,Google Cloud Run
Pega UI Design,Pega UX Best Practices
Salesforce Reports,Salesforce Einstein Analytics
Data Warehousing,Snowflake
Azure Monitor,Azure Application Insights
Machine Learning Model Training,Model Interpretability
AI Chatbots,Conversational AI
Data Engineering,Data Pipeline Automation
Business Intelligence (BI),Advanced Analytics
ETL (Extract, Transform
MongoDB,Elasticsearch
Microservices,Dockerized Microservices
Kubernetes,OpenShift
Salesforce Custom Objects,Salesforce Shield
Pega Case Design,Pega BPM (Business Process Management)
Continuous Integration (CI),Continuous Testing
AWS CloudFormation,AWS CDK (Cloud Development Kit)
Azure DevTest Labs,Azure Test Plans
Azure AD B2C,Azure AD B2B
Google BigQuery,Google Cloud Dataflow
Terraform,Ansible
Continuous Deployment (CD),Blue/Green Deployments
Hadoop Ecosystem,Apache Spark
Salesforce Process Automation,Salesforce Flows
Pega DCO (Direct Capture of Objectives),Pega Agile Studio
Azure Data Lake,Azure Databricks
Amazon Athena,Amazon EMR (Elastic MapReduce)
Power Automate,Microsoft Logic Apps
API Gateway,Service Mesh
Salesforce Visualforce Pages,Salesforce Aura Components
ML Model Deployment,A/B Testing for ML Models
GitOps,ArgoCD
Databricks,Delta Lake
Data Warehouses,Data Mesh
Terraform Modules,Terragrunt
Model Optimization,Hyperparameter Tuning
Data Privacy,GDPR Compliance
Zero Trust Security,Identity Governance and Administration (IGA)
